participant_id,block_index,trial_index_global,trial_index_block,letter,is_target,has_distractor,distractor_level,distractor_type,distractor_onset_ms,distractor_duration_ms,distractor_pos_px_x,distractor_pos_px_y,distractor_quadrant,stim_duration_ms,isi_ms,response_key,response_time_ms,is_hit,is_omission,is_commission,timestamp_ms
p0,1,1,1,6 of spades,0,1,falsecard,falsecard,257.0,1532.0,30.0,437.0,left,1300,800,none,,0,0,0,1761851098027
p0,1,1,2,jack of diamonds,0,1,ripple,ripple,298.0,2219.0,1117.0,35.0,top,1300,800,none,,0,0,0,1761851100136
p0,1,1,3,2 of diamonds,0,1,screen,none,,,,,,1300,800,none,,0,0,0,1761851102243
p0,1,1,4,7 of diamonds,1,1,screen,none,,,,,,1300,800,space,467.0,1,0,0,1761851104353
p0,1,1,5,7 of diamonds,1,1,ripple,ripple,374.0,2514.0,206.0,214.0,left,1300,800,space,856.0,1,0,0,1761851106463
p0,1,1,6,4 of hearts,0,1,notification,notification,164.0,2614.0,28.0,396.0,left,1300,800,none,,0,0,0,1761851108568
p0,1,1,7,ace of spades,0,1,screen,none,,,,,,1300,800,none,,0,0,0,1761851110675
p0,1,1,8,jack of spades,0,1,notification,notification,180.0,2581.0,21.0,472.0,left,1300,800,none,,0,0,0,1761851112785
p0,1,1,9,ace of diamonds,0,0,none,none,,,,,,1300,800,none,,0,0,0,1761851114894
p0,1,1,10,5 of clubs,0,1,notification,notification,169.0,1844.0,1216.0,628.0,right,1300,800,none,,0,0,0,1761851116999
p0,2,11,1,ace of clubs,0,0,none,none,,,,,,1300,800,none,,0,0,0,1761851122367
p0,2,11,2,jack of clubs,0,1,banner,none,,,,,,1300,800,none,,0,0,0,1761851124478
p0,2,11,3,4 of hearts,0,1,shape,shape,273.0,1719.0,1039.0,102.0,top,1300,800,none,,0,0,0,1761851126590
p0,2,11,4,7 of diamonds,1,1,shape,shape,267.0,2230.0,1371.0,313.0,right,1300,800,none,,0,1,0,1761851128700
p0,2,11,5,7 of diamonds,1,1,notification,notification,212.0,2409.0,1227.0,525.0,right,1300,800,none,,0,1,0,1761851130812
p0,2,11,6,10 of diamonds,0,1,falsecard,falsecard,152.0,1066.0,55.0,92.0,left,1300,800,none,,0,0,0,1761851132916
p0,2,11,7,9 of hearts,0,1,shape,shape,217.0,1728.0,211.0,249.0,left,1300,800,none,,0,0,0,1761851135019
p0,2,11,8,7 of spades,0,1,ripple,ripple,323.0,1691.0,493.0,62.0,top,1300,800,none,,0,0,0,1761851137129
p0,2,11,9,9 of clubs,0,1,screen,none,,,,,,1300,800,none,,0,0,0,1761851139235
p0,2,11,10,queen of clubs,0,1,banner,none,,,,,,1300,800,none,,0,0,0,1761851141346
p0,3,21,1,king of hearts,0,1,screen,none,,,,,,1540,800,none,,0,0,0,1761851146753
p0,3,21,2,7 of diamonds,1,1,falsecard,falsecard,311.0,1093.0,1298.0,214.0,right,1540,800,none,,0,1,0,1761851149101
p0,3,21,3,king of spades,0,1,notification,notification,266.0,1915.0,1215.0,508.0,right,1540,800,none,,0,0,0,1761851151447
p0,3,21,4,8 of clubs,0,1,falsecard,falsecard,216.0,1277.0,20.0,443.0,left,1540,800,none,,0,0,0,1761851153790
p0,3,21,5,ace of diamonds,0,0,none,none,,,,,,1540,800,none,,0,0,0,1761851156135
p0,3,21,6,6 of clubs,0,1,falsecard,falsecard,335.0,1560.0,19.0,45.0,left,1540,800,none,,0,0,0,1761851158488
p0,3,21,7,jack of spades,0,1,shape,shape,350.0,2264.0,1298.0,628.0,right,1540,800,none,,0,0,0,1761851160838
p0,3,21,8,8 of diamonds,0,1,notification,notification,389.0,2278.0,21.0,269.0,left,1540,800,none,,0,0,0,1761851163185
p0,3,21,9,7 of diamonds,1,1,ripple,ripple,243.0,1733.0,789.0,70.0,top,1540,800,none,,0,1,0,1761851165532
p0,3,21,10,ace of hearts,0,1,screen,none,,,,,,1540,800,none,,0,0,0,1761851167880
